02400, 02298, 00379, 02409
02700, 02602, 00384, 02710
03000, 02906, 00391, 03002
03300, 03206, 00390, 03305
03600, 03494, 00374, 03604
03900, 03798, 00379, 03917
04200, 04106, 00390, 04204
04500, 04398, 00377, 04509
04800, 04706, 00404, 04806
05100, 05006, 00394, 05101
05400, 05302, 00386, 05413
05700, 05606, 00389, 05700
06000, 05898, 00371, 06008
06300, 06198, 00381, 06318
06600, 06502, 00389, 06606
06900, 06802, 00381, 06910
07200, 07102, 00391, 07206
07500, 07402, 00384, 07500
07800, 07706, 00389, 07810
08100, 07998, 00377, 08100
08400, 08302, 00384, 08412
08700, 08598, 00381, 08710
00300, 00199, 00377, 00302
00600, 00503, 00384, 00607
00900, 00795, 00369, 00906
01200, 01099, 00374, 01202
01500, 01403, 00387, 01508
01800, 01703, 00396, 01802
02100, 02007, 00394, 02100
02400, 02303, 00393, 02411
02700, 02603, 00379, 02702
03000, 02899, 00380, 03006
03300, 03203, 00381, 03315
03600, 03503, 00396, 03609
03900, 03795, 00374, 03904
04200, 04101, 00390, 04201
04500, 04403, 00390, 04502
04800, 04701, 00391, 04807
05100, 05003, 00399, 05102
05400, 05303, 00395, 05410
05700, 05603, 00385, 05706
06000, 05903, 00386, 06005
06300, 06195, 00371, 06309
06600, 06499, 00381, 06611
06900, 06803, 00381, 06905
07200, 07103, 00384, 07199
07500, 07403, 00399, 07502
07800, 07703, 00384, 07806
08100, 07999, 00380, 08102
08400, 08303, 00382, 08403
08700, 08603, 00384, 08710
00300, 00205, 00404, 00302
00600, 00501, 00376, 00607
00900, 00801, 00382, 00918
01200, 01101, 00387, 01201
01500, 01401, 00376, 01502
01800, 01701, 00384, 01801
02100, 02005, 00402, 02103
02400, 02301, 00387, 02410
02700, 02593, 00367, 02707
03000, 02901, 00387, 03005
03300, 03197, 00373, 03312
03600, 03497, 00369, 03602
03900, 03801, 00379, 03904
04200, 04105, 00397, 04208
04500, 04405, 00392, 04502
04800, 04705, 00402, 04801
05100, 05005, 00392, 05104
05400, 05301, 00381, 05403
05700, 05605, 00389, 05708
06000, 05901, 00382, 06002
06300, 06201, 00383, 06311
06600, 06493, 00367, 06613
06900, 06801, 00381, 06904
07200, 07101, 00382, 07211
07500, 07405, 00401, 07502
07800, 07709, 00403, 07801
08100, 08001, 00384, 08105
08400, 08301, 00379, 08403
08700, 08597, 00374, 08707
00300, 00204, 00389, 00315
00600, 00504, 00388, 00607
00900, 00796, 00374, 00904
01200, 01100, 00382, 01203
01500, 01404, 00394, 01504
01800, 01700, 00382, 01805
02100, 02004, 00388, 02100
02400, 02296, 00374, 02407
02700, 02604, 00394, 02701
03000, 02904, 00391, 03003
03300, 03198, 00383, 03308
03600, 03500, 00374, 03621
03900, 03804, 00384, 03902
04200, 04100, 00374, 04210
04500, 04408, 00399, 04502
04800, 04708, 00397, 04802
05100, 05004, 00384, 05101
05400, 05304, 00388, 05410
05700, 05604, 00397, 05708
06000, 05900, 00371, 06006
06300, 06202, 00389, 06307
06600, 06504, 00384, 06614
06900, 06800, 00381, 06903
07200, 07104, 00388, 07202
07500, 07408, 00396, 07502
07800, 07704, 00390, 07800
08100, 08008, 00397, 08106
08400, 08304, 00389, 08408
08700, 08604, 00386, 08701
00300, 00203, 00384, 00307
00600, 00499, 00379, 00602
00900, 00795, 00371, 00916
01200, 01099, 00376, 01209
01500, 01403, 00392, 01500
01800, 01707, 00404, 01809
02100, 02003, 00391, 02103
02400, 02303, 00392, 02407
02700, 02599, 00376, 02707
03000, 02903, 00384, 03004
03300, 03199, 00379, 03303
03600, 03499, 00374, 03604
03900, 03799, 00379, 03902
04200, 04103, 00384, 04203
04500, 04399, 00379, 04502
04800, 04703, 00397, 04803
05100, 05003, 00389, 05104
05400, 05303, 00396, 05408
05700, 05599, 00382, 05706
06000, 05899, 00381, 06006
06300, 06199, 00379, 06304
06600, 06499, 00372, 06614
06900, 06807, 00399, 06902
07200, 07103, 00382, 07202
07500, 07401, 00391, 07507
07800, 07703, 00391, 07806
08100, 08003, 00387, 08106
08400, 08303, 00389, 08405
08700, 08603, 00386, 08704
00300, 00203, 00387, 00312
00600, 00495, 00364, 00616
00900, 00803, 00382, 00906
01200, 01103, 00387, 01203
01500, 01403, 00389, 01500
01800, 01703, 00399, 01802
02100, 02003, 00396, 02109
02400, 02303, 00396, 02402
02700, 02603, 00396, 02706
03000, 02903, 00379, 03005
03300, 03199, 00377, 03306
03600, 03499, 00377, 03612
03900, 03799, 00377, 03904
04200, 04103, 00387, 04208
04500, 04403, 00386, 04509
04800, 04703, 00381, 04799
05100, 05003, 00381, 05116
05400, 05303, 00389, 05403
05700, 05607, 00402, 05705
06000, 05899, 00381, 06003
06300, 06199, 00377, 06302
06600, 06495, 00371, 06611
06900, 06799, 00376, 06905
07200, 07103, 00397, 07200
07500, 07411, 00409, 07509
07800, 07703, 00389, 07805
08100, 08003, 00382, 08105
08400, 08299, 00380, 08404
08700, 08599, 00382, 08711
00300, 00199, 00377, 00306
00600, 00503, 00382, 00607
00900, 00803, 00384, 00902
01200, 01091, 00367, 01200
01500, 01399, 00371, 01509
01800, 01703, 00394, 01802
02100, 01995, 00374, 02110
